id,strategies,round,assets
16,random,13,1644
17,random,13,1516
18,tft,13,402
19,coop,13,321
20,random,13,411
21,defect,13,2414
22,defect,13,2307
23,defect,13,2318
24,random,13,1597
25,random,13,422
26,coop,13,262
27,tft,13,381
28,defect,13,2181
29,tft,13,332
30,tft,13,358
31,random,13,1575
32,defect,13,2313
33,defect,13,2334
34,tft,13,357
35,tft,13,359
36,defect,13,2201
37,tft,13,327
38,defect,13,2450
39,coop,13,289
40,defect,13,2283
41,tft,13,370
42,random,13,1702
43,random,13,1636
44,random,13,1696
45,defect,13,2308
46,random,13,1542
47,coop,13,290
48,random,13,1547
49,random,13,1584
50,defect,13,2354
51,defect,13,2339
52,defect,13,2283
53,tft,13,379
54,tft,13,395
55,coop,13,314
56,tft,13,396
57,tft,13,407
58,defect,13,2185
59,random,13,1464
60,random,13,1774
61,tft,13,367
62,random,13,1492
63,random,13,1559
64,tft,13,390
65,tft,13,387
66,tft,13,375
67,random,13,1659
68,coop,13,341
69,defect,13,2463
70,random,13,1721
71,defect,13,2375
72,random,13,1719
73,tft,13,353
74,coop,13,310
75,defect,13,2290
76,random,13,1686
77,tft,13,432
78,tft,13,384
79,defect,13,2384
80,random,13,1701
81,coop,13,318
82,tft,13,380
83,random,13,1717
84,random,13,1603
85,tft,13,360
86,coop,13,268
87,tft,13,388
88,coop,13,308
89,tft,13,336
90,coop,13,322
91,defect,13,2249
92,coop,13,283
93,coop,13,294
94,defect,13,2245
95,tft,13,398
96,coop,13,289
97,tft,13,391
98,defect,13,2241
99,random,13,1629
0,coop,14,334
1,coop,14,316
2,tft,14,383
3,tft,14,376
4,random,14,1734
5,random,14,1769
6,coop,14,303
7,coop,14,322
8,coop,14,301
9,random,14,1719
10,tft,14,373
11,random,14,451
12,random,14,1690
13,tft,14,405
14,defect,14,2343
15,tft,14,369
16,random,14,1722
17,random,14,1600
18,tft,14,402
19,coop,14,321
20,random,14,411
21,defect,14,2548
22,defect,14,2445
23,defect,14,2472
24,random,14,1707
25,random,14,422
26,coop,14,262
27,tft,14,381
28,defect,14,2305
29,tft,14,332
30,tft,14,358
31,random,14,1647
32,defect,14,2425
33,defect,14,2464
34,tft,14,357
35,tft,14,359
36,defect,14,2335
37,tft,14,327
38,defect,14,2590
39,coop,14,289
40,defect,14,2401
41,tft,14,370
42,random,14,1790
43,random,14,1726
44,random,14,1792
45,defect,14,2436
46,random,14,1646
47,coop,14,290
48,random,14,1629
49,random,14,1664
50,defect,14,2500
51,defect,14,2461
52,defect,14,2401
53,tft,14,379
