"","id","strategies","round","assets"
"1321",20,"defect",13,2190
"1322",21,"tft",13,330
"1323",22,"tft",13,397
"1324",23,"tft",13,387
"1325",24,"random",13,1688
"1326",25,"random",13,1490
"1327",26,"tft",13,373
"1328",27,"coop",13,360
"1329",28,"tft",13,370
"1330",29,"coop",13,272
"1331",30,"random",13,1640
"1332",31,"tft",13,388
"1333",32,"random",13,1531
"1334",33,"tft",13,377
"1335",34,"coop",13,314
"1336",35,"defect",13,2429
"1337",36,"defect",13,2356
"1338",37,"defect",13,2473
"1339",38,"random",13,1709
"1340",39,"random",13,1692
"1341",40,"tft",13,357
"1342",41,"defect",13,2298
"1343",42,"defect",13,2337
"1344",43,"tft",13,375
"1345",44,"defect",13,2436
"1346",45,"defect",13,2472
"1347",46,"random",13,1767
"1348",47,"defect",13,2386
"1349",48,"tft",13,408
"1350",49,"defect",13,2484
"1351",50,"coop",13,323
"1352",51,"defect",13,2428
"1353",52,"coop",13,318
"1354",53,"tft",13,349
"1355",54,"coop",13,294
"1356",55,"coop",13,280
"1357",56,"tft",13,367
"1358",57,"random",13,1766
"1359",58,"defect",13,2351
"1360",59,"coop",13,315
"1361",60,"tft",13,359
"1362",61,"coop",13,305
"1363",62,"random",13,1690
"1364",63,"coop",13,318
"1365",64,"tft",13,422
"1366",65,"defect",13,2276
"1367",66,"coop",13,323
"1368",67,"tft",13,410
"1369",68,"tft",13,384
"1370",69,"defect",13,2269
"1371",70,"random",13,1741
"1372",71,"coop",13,286
"1373",72,"tft",13,381
"1374",73,"defect",13,2409
"1375",74,"random",13,1668
"1376",75,"random",13,1775
"1377",76,"random",13,1740
"1378",77,"coop",13,314
"1379",78,"random",13,1686
"1380",79,"tft",13,357
"1381",80,"tft",13,364
"1382",81,"defect",13,2353
"1383",82,"defect",13,2435
"1384",83,"tft",13,354
"1385",84,"defect",13,2487
"1386",85,"random",13,1738
"1387",86,"random",13,1573
"1388",87,"tft",13,382
"1389",88,"defect",13,2423
"1390",89,"random",13,1717
"1391",90,"defect",13,2314
"1392",91,"random",13,1698
"1393",92,"tft",13,394
"1394",93,"coop",13,303
"1395",94,"tft",13,352
"1396",95,"coop",13,273
"1397",96,"random",13,1701
"1398",97,"defect",13,2307
"1399",98,"tft",13,350
"1400",99,"random",13,1725
"1401",0,"random",14,1685
"1402",1,"coop",14,300
"1403",2,"tft",14,417
"1404",3,"tft",14,350
"1405",4,"random",14,1778
"1406",5,"defect",14,2668
"1407",6,"random",14,1706
"1408",7,"tft",14,459
"1409",8,"coop",14,282
"1410",9,"random",14,1784
"1411",10,"coop",14,342
"1412",11,"defect",14,2533
"1413",12,"tft",14,420
"1414",13,"random",14,1738
"1415",14,"defect",14,2530
"1416",15,"defect",14,2527
"1417",16,"random",14,1764
"1418",17,"coop",14,309
"1419",18,"coop",14,318
"1420",19,"random",14,1825
"1421",20,"defect",14,2316
"1422",21,"tft",14,330
"1423",22,"tft",14,397
"1424",23,"tft",14,387
"1425",24,"random",14,1788
"1426",25,"random",14,1548
"1427",26,"tft",14,373
"1428",27,"coop",14,360
"1429",28,"tft",14,370
"1430",29,"coop",14,272
"1431",30,"random",14,1762
"1432",31,"tft",14,388
"1433",32,"random",14,1621
"1434",33,"tft",14,377
"1435",34,"coop",14,314
"1436",35,"defect",14,2563
"1437",36,"defect",14,2486
"1438",37,"defect",14,2609
"1439",38,"random",14,1791
"1440",39,"random",14,1782
"1441",40,"tft",14,357
"1442",41,"defect",14,2426
"1443",42,"defect",14,2471
"1444",43,"tft",14,375
"1445",44,"defect",14,2578
"1446",45,"defect",14,2606
"1447",46,"random",14,1883
"1448",47,"defect",14,2542
"1449",48,"tft",14,408
"1450",49,"defect",14,2620
"1451",50,"coop",14,323
"1452",51,"defect",14,2532
"1453",52,"coop",14,318
"1454",53,"tft",14,349
"1455",54,"coop",14,294
"1456",55,"coop",14,280
"1457",56,"tft",14,367
"1458",57,"random",14,1850
"1459",58,"defect",14,2489
"1460",59,"coop",14,315
"1461",60,"tft",14,359
"1462",61,"coop",14,305
"1463",62,"random",14,1784
"1464",63,"coop",14,318
"1465",64,"tft",14,422
"1466",65,"defect",14,2396
"1467",66,"coop",14,323
"1468",67,"tft",14,410
"1469",68,"tft",14,384
"1470",69,"defect",14,2409
"1471",70,"random",14,1825
"1472",71,"coop",14,286
"1473",72,"tft",14,381
"1474",73,"defect",14,2545
"1475",74,"random",14,1756
"1476",75,"random",14,1861
"1477",76,"random",14,1838
"1478",77,"coop",14,314
"1479",78,"random",14,1770
"1480",79,"tft",14,357
"1481",80,"tft",14,364
"1482",81,"defect",14,2475
"1483",82,"defect",14,2585
"1484",83,"tft",14,354
"1485",84,"defect",14,2633
"1486",85,"random",14,1834
"1487",86,"random",14,1657
"1488",87,"tft",14,382
"1489",88,"defect",14,2553
"1490",89,"random",14,1811
"1491",90,"defect",14,2456
"1492",91,"random",14,1776
"1493",92,"tft",14,394
"1494",93,"coop",14,303
"1495",94,"tft",14,352
"1496",95,"coop",14,273
"1497",96,"random",14,1815
"1498",97,"defect",14,2437
"1499",98,"tft",14,350
"1500",99,"random",14,1819
"1501",0,"random",15,1759
"1502",1,"coop",15,300
"1503",2,"tft",15,417
"1504",3,"tft",15,350
"1505",4,"random",15,1878
"1506",5,"defect",15,2822
"1507",6,"random",15,1800
"1508",7,"tft",15,459
"1509",8,"coop",15,282
"1510",9,"random",15,1886
"1511",10,"coop",15,342
"1512",11,"defect",15,2667
"1513",12,"tft",15,420
"1514",13,"random",15,1828
"1515",14,"defect",15,2682
"1516",15,"defect",15,2649
"1517",16,"random",15,1858
"1518",17,"coop",15,309
"1519",18,"coop",15,318
"1520",19,"random",15,1913
"1521",20,"defect",15,2438
"1522",21,"tft",15,330
"1523",22,"tft",15,397
"1524",23,"tft",15,387
"1525",24,"random",15,1860
"1526",25,"random",15,1608
"1527",26,"tft",15,373
"1528",27,"coop",15,360
"1529",28,"tft",15,370
"1530",29,"coop",15,272
"1531",30,"random",15,1840
"1532",31,"tft",15,388
"1533",32,"random",15,1703
"1534",33,"tft",15,377
"1535",34,"coop",15,314
"1536",35,"defect",15,2709
"1537",36,"defect",15,2626
"1538",37,"defect",15,2741
"1539",38,"random",15,1917
"1540",39,"random",15,1874
"1541",40,"tft",15,357
"1542",41,"defect",15,2562
"1543",42,"defect",15,2595
"1544",43,"tft",15,375
"1545",44,"defect",15,2716
"1546",45,"defect",15,2744
"1547",46,"random",15,1971
"1548",47,"defect",15,2702
"1549",48,"tft",15,408
"1550",49,"defect",15,2762
"1551",50,"coop",15,323
"1552",51,"defect",15,2652
"1553",52,"coop",15,318
"1554",53,"tft",15,349
"1555",54,"coop",15,294
"1556",55,"coop",15,280
"1557",56,"tft",15,367
"1558",57,"random",15,1950
"1559",58,"defect",15,2629
"1560",59,"coop",15,315
"1561",60,"tft",15,359
"1562",61,"coop",15,305
"1563",62,"random",15,1856
"1564",63,"coop",15,318
"1565",64,"tft",15,422
"1566",65,"defect",15,2516
"1567",66,"coop",15,323
"1568",67,"tft",15,410
"1569",68,"tft",15,384
"1570",69,"defect",15,2541
"1571",70,"random",15,1911
"1572",71,"coop",15,286
"1573",72,"tft",15,381
"1574",73,"defect",15,2669
"1575",74,"random",15,1848
"1576",75,"random",15,1943
"1577",76,"random",15,1926
"1578",77,"coop",15,314
"1579",78,"random",15,1876
"1580",79,"tft",15,357
"1581",80,"tft",15,364
"1582",81,"defect",15,2613
"1583",82,"defect",15,2711
"1584",83,"tft",15,354
"1585",84,"defect",15,2775
"1586",85,"random",15,1938
"1587",86,"random",15,1761
"1588",87,"tft",15,382
"1589",88,"defect",15,2677
"1590",89,"random",15,1907
"1591",90,"defect",15,2588
"1592",91,"random",15,1872
"1593",92,"tft",15,394
"1594",93,"coop",15,303
"1595",94,"tft",15,352
"1596",95,"coop",15,273
"1597",96,"random",15,1891
"1598",97,"defect",15,2587
"1599",98,"tft",15,350
"1600",99,"random",15,1889
"1601",0,"random",16,1857
"1602",1,"coop",16,300
"1603",2,"tft",16,417
"1604",3,"tft",16,350
"1605",4,"random",16,1974
"1606",5,"defect",16,2974
"1607",6,"random",16,1890
"1608",7,"tft",16,459
"1609",8,"coop",16,282
