id,strategies,round,assets
70,random,2,596
71,tft,2,345
72,tft,2,320
73,random,2,624
74,tft,2,353
75,tft,2,366
76,coop,2,373
77,tft,2,373
78,tft,2,366
79,random,2,613
80,random,2,567
81,tft,2,335
82,tft,2,363
83,random,2,609
84,defect,2,703
85,coop,2,328
86,tft,2,346
87,tft,2,357
88,coop,2,342
89,coop,2,319
90,tft,2,381
91,tft,2,361
92,tft,2,365
93,coop,2,321
94,defect,2,680
95,tft,2,358
96,random,2,575
97,defect,2,726
98,tft,2,364
99,random,2,558
0,coop,3,328
1,defect,3,901
2,tft,3,366
3,random,3,671
4,tft,3,376
5,defect,3,800
6,coop,3,342
7,coop,3,363
8,random,3,669
9,tft,3,383
10,tft,3,370
11,tft,3,390
12,tft,3,395
13,tft,3,386
14,random,3,717
15,tft,3,370
16,defect,3,920
17,tft,3,386
18,random,3,693
19,defect,3,868
20,tft,3,360
21,defect,3,888
22,random,3,721
23,defect,3,874
24,random,3,693
25,tft,3,383
26,tft,3,340
27,tft,3,379
28,tft,3,354
29,tft,3,373
30,defect,3,898
31,random,3,734
32,random,3,710
33,tft,3,390
34,tft,3,338
35,coop,3,330
36,tft,3,384
37,tft,3,371
38,tft,3,373
39,tft,3,364
40,tft,3,384
41,coop,3,344
42,coop,3,369
43,tft,3,373
44,tft,3,382
45,coop,3,325
46,tft,3,365
47,tft,3,373
48,tft,3,367
49,tft,3,395
50,tft,3,361
51,random,3,723
52,random,3,710
53,tft,3,396
54,tft,3,374
55,random,3,729
56,tft,3,356
57,tft,3,413
58,coop,3,346
59,defect,3,882
60,random,3,686
61,tft,3,379
62,random,3,682
63,random,3,699
64,defect,3,842
65,tft,3,367
66,defect,3,856
67,random,3,716
68,tft,3,406
69,tft,3,402
70,random,3,688
71,tft,3,353
72,tft,3,338
73,random,3,764
74,tft,3,365
75,tft,3,388
76,coop,3,381
77,tft,3,393
78,tft,3,388
79,random,3,723
80,random,3,671
81,tft,3,353
82,tft,3,387
83,random,3,727
84,defect,3,873
85,coop,3,340
86,tft,3,370
87,tft,3,385
88,coop,3,350
89,coop,3,323
90,tft,3,413
91,tft,3,379
92,tft,3,387
93,coop,3,329
94,defect,3,834
95,tft,3,378
96,random,3,713
97,defect,3,904
98,tft,3,388
99,random,3,692
0,coop,4,328
1,defect,4,1025
2,tft,4,374
3,random,4,787
4,tft,4,384
5,defect,4,930
6,coop,4,350
7,coop,4,371
8,random,4,755
9,tft,4,405
10,tft,4,376
11,tft,4,402
12,tft,4,415
13,tft,4,402
14,random,4,793
15,tft,4,376
16,defect,4,1064
17,tft,4,396
18,random,4,799
19,defect,4,1016
20,tft,4,368
21,defect,4,1006
22,random,4,821
23,defect,4,990
24,random,4,753
25,tft,4,399
26,tft,4,354
27,tft,4,389
28,tft,4,356
29,tft,4,375
30,defect,4,1040
31,random,4,844
32,random,4,796
33,tft,4,398
34,tft,4,344
35,coop,4,338
36,tft,4,400
37,tft,4,385
38,tft,4,381
39,tft,4,370
40,tft,4,392
41,coop,4,352
42,coop,4,369
43,tft,4,401
44,tft,4,392
45,coop,4,329
46,tft,4,371
47,tft,4,379
48,tft,4,381
49,tft,4,405
50,tft,4,365
51,random,4,835
52,random,4,798
53,tft,4,402
54,tft,4,382
55,random,4,855
56,tft,4,360
57,tft,4,423
58,coop,4,346
59,defect,4,1024
60,random,4,784
61,tft,4,391
62,random,4,806
63,random,4,791
64,defect,4,976
65,tft,4,379
66,defect,4,984
67,random,4,816
68,tft,4,416
69,tft,4,404
70,random,4,794
71,tft,4,357
72,tft,4,346
73,random,4,850
74,tft,4,371
75,tft,4,410
76,coop,4,381
77,tft,4,407
78,tft,4,402
79,random,4,823
80,random,4,749
81,tft,4,363
82,tft,4,405
83,random,4,817
84,defect,4,1015
85,coop,4,352
86,tft,4,380
87,tft,4,397
88,coop,4,350
89,coop,4,323
90,tft,4,425
91,tft,4,383
92,tft,4,397
93,coop,4,337
94,defect,4,950
95,tft,4,380
96,random,4,811
97,defect,4,1066
98,tft,4,400
99,random,4,796
0,coop,5,328
1,defect,5,1143
2,tft,5,384
3,random,5,883
4,tft,5,386
5,defect,5,1064
6,coop,5,354
7,coop,5,375
8,random,5,855
9,tft,5,411
10,tft,5,378
11,tft,5,412
12,tft,5,415
13,tft,5,408
14,random,5,873
15,tft,5,378
16,defect,5,1186
17,tft,5,400
18,random,5,887
19,defect,5,1132
20,tft,5,372
21,defect,5,1112
22,random,5,903
23,defect,5,1108
24,random,5,831
25,tft,5,417
26,tft,5,360
27,tft,5,391
28,tft,5,358
29,tft,5,375
30,defect,5,1150
31,random,5,936
32,random,5,890
33,tft,5,398
34,tft,5,344
35,coop,5,346
36,tft,5,404
37,tft,5,391
38,tft,5,385
39,tft,5,370
40,tft,5,396
41,coop,5,356
42,coop,5,369
43,tft,5,413
44,tft,5,394
45,coop,5,329
46,tft,5,379
47,tft,5,387
48,tft,5,383
49,tft,5,411
50,tft,5,369
51,random,5,915
52,random,5,880
53,tft,5,414
54,tft,5,388
55,random,5,943
56,tft,5,362
57,tft,5,425
58,coop,5,350
59,defect,5,1132
60,random,5,882
61,tft,5,403
62,random,5,934
63,random,5,873
64,defect,5,1094
65,tft,5,383
66,defect,5,1100
67,random,5,910
68,tft,5,420
69,tft,5,404
70,random,5,866
71,tft,5,357
72,tft,5,352
73,random,5,942
74,tft,5,379
75,tft,5,422
76,coop,5,385
77,tft,5,407
78,tft,5,406
79,random,5,905
80,random,5,855
81,tft,5,375
82,tft,5,415
83,random,5,897
84,defect,5,1147
85,coop,5,352
86,tft,5,386
87,tft,5,401
88,coop,5,350
89,coop,5,327
90,tft,5,437
91,tft,5,391
92,tft,5,401
93,coop,5,341
94,defect,5,1062
95,tft,5,382
96,random,5,917
97,defect,5,1202
98,tft,5,410
99,random,5,888
0,coop,6,328
1,defect,6,1251
2,tft,6,390
3,random,6,955
4,tft,6,398
5,defect,6,1200
6,coop,6,354
7,coop,6,379
8,random,6,939
9,tft,6,415
10,tft,6,378
11,tft,6,414
12,tft,6,415
13,tft,6,410
14,random,6,949
15,tft,6,380
16,defect,6,1306
17,tft,6,410
18,random,6,963
19,defect,6,1258
20,tft,6,376
21,defect,6,1208
22,random,6,975
23,defect,6,1234
24,random,6,907
25,tft,6,423
26,tft,6,364
27,tft,6,391
28,tft,6,358
29,tft,6,375
30,defect,6,1276
31,random,6,1002
32,random,6,950
33,tft,6,398
34,tft,6,344
35,coop,6,346
36,tft,6,408
37,tft,6,397
38,tft,6,389
39,tft,6,370
40,tft,6,396
41,coop,6,356
42,coop,6,369
43,tft,6,421
44,tft,6,394
45,coop,6,329
46,tft,6,387
47,tft,6,387
48,tft,6,385
49,tft,6,413
50,tft,6,369
51,random,6,1011
52,random,6,956
53,tft,6,416
54,tft,6,392
55,random,6,1013
56,tft,6,362
57,tft,6,425
58,coop,6,354
59,defect,6,1246
60,random,6,954
61,tft,6,413
62,random,6,1034
63,random,6,949
64,defect,6,1198
65,tft,6,387
66,defect,6,1192
67,random,6,994
68,tft,6,426
69,tft,6,404
