id,strategies,assets
63,tft,"[5, 249, 329, 357, 373, 381, 381, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383, 383]"
64,tft,"[18, 258, 334, 374, 386, 392, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]"
65,defect,"[37, 475, 735, 943, 1085, 1249, 1415, 1561, 1695, 1857, 2023, 2165, 2323, 2469, 2619, 2761, 2911, 3071, 3201, 3331, 3469, 3609, 3749, 3917, 4085, 4229]"
66,random,"[6, 348, 572, 732, 864, 1002, 1104, 1226, 1350, 1456, 1570, 1662, 1746, 1840, 1928, 2016, 2138, 2216, 2298, 2390, 2482, 2570, 2650, 2730, 2834, 2942]"
67,coop,"[1, 249, 277, 289, 293, 297, 301, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305]"
68,coop,"[60, 312, 344, 364, 368, 376, 380, 380, 380, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384]"
69,random,"[0, 332, 512, 640, 776, 864, 974, 1082, 1190, 1276, 1356, 1450, 1546, 1656, 1742, 1824, 1920, 2008, 2098, 2198, 2282, 2390, 2490, 2572, 2654, 2766]"
70,random,"[12, 382, 570, 716, 828, 928, 1038, 1126, 1204, 1294, 1386, 1470, 1558, 1674, 1746, 1830, 1928, 2016, 2122, 2226, 2326, 2424, 2492, 2582, 2694, 2770]"
71,coop,"[5, 221, 253, 277, 285, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289, 289]"
72,coop,"[5, 253, 293, 313, 321, 325, 325, 329, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333]"
73,tft,"[0, 268, 318, 344, 356, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362, 362]"
74,random,"[2, 346, 544, 690, 830, 942, 1044, 1142, 1242, 1350, 1446, 1526, 1620, 1736, 1834, 1954, 2046, 2110, 2194, 2264, 2332, 2412, 2500, 2566, 2660, 2730]"
75,random,"[23, 355, 593, 743, 865, 977, 1079, 1213, 1343, 1473, 1571, 1657, 1749, 1839, 1923, 1997, 2095, 2177, 2281, 2373, 2471, 2565, 2655, 2755, 2829, 2937]"
76,coop,"[20, 280, 312, 328, 336, 340, 340, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344]"
77,coop,"[21, 277, 293, 313, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317, 317]"
78,defect,"[23, 473, 717, 911, 1083, 1237, 1411, 1557, 1703, 1849, 1997, 2133, 2261, 2397, 2533, 2657, 2809, 2953, 3079, 3201, 3341, 3469, 3595, 3719, 3835, 3963]"
79,random,"[23, 369, 583, 713, 847, 955, 1059, 1165, 1259, 1367, 1455, 1575, 1663, 1755, 1853, 1965, 2065, 2141, 2233, 2325, 2423, 2511, 2587, 2677, 2773, 2843]"
80,defect,"[4, 446, 664, 846, 1034, 1220, 1356, 1492, 1632, 1788, 1914, 2050, 2190, 2342, 2464, 2580, 2720, 2860, 2960, 3076, 3184, 3304, 3422, 3526, 3638, 3758]"
81,coop,"[2, 254, 286, 302, 310, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314, 314]"
82,tft,"[24, 272, 332, 358, 368, 374, 380, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384]"
83,random,"[8, 348, 530, 688, 842, 972, 1078, 1190, 1304, 1376, 1466, 1578, 1672, 1744, 1850, 1946, 2032, 2122, 2204, 2300, 2388, 2468, 2570, 2658, 2758, 2846]"
84,tft,"[0, 240, 328, 358, 378, 392, 406, 416, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420, 420]"
85,random,"[1, 363, 575, 729, 861, 987, 1089, 1165, 1279, 1389, 1479, 1595, 1681, 1771, 1861, 1943, 2011, 2095, 2175, 2257, 2349, 2437, 2559, 2643, 2727, 2817]"
86,coop,"[18, 262, 286, 294, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302, 302]"
87,tft,"[17, 257, 315, 355, 379, 391, 395, 397, 399, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401, 401]"
88,coop,"[24, 268, 288, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304]"
89,defect,"[2, 436, 684, 930, 1108, 1256, 1408, 1558, 1726, 1860, 2004, 2144, 2270, 2426, 2540, 2682, 2828, 2962, 3090, 3216, 3342, 3460, 3590, 3720, 3846, 3960]"
90,tft,"[1, 245, 307, 325, 341, 347, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351]"
91,random,"[9, 349, 535, 673, 783, 907, 1011, 1101, 1189, 1309, 1391, 1491, 1573, 1659, 1759, 1867, 1965, 2053, 2131, 2231, 2339, 2427, 2511, 2627, 2717, 2801]"
92,coop,"[11, 263, 291, 299, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311]"
93,random,"[1, 359, 547, 705, 827, 939, 1043, 1153, 1261, 1359, 1451, 1557, 1657, 1761, 1849, 1963, 2059, 2143, 2239, 2347, 2437, 2497, 2591, 2659, 2735, 2805]"
94,random,"[69, 423, 619, 771, 929, 1057, 1163, 1277, 1375, 1471, 1589, 1681, 1771, 1861, 1957, 2045, 2147, 2245, 2333, 2431, 2513, 2591, 2695, 2771, 2855, 2937]"
95,tft,"[3, 263, 331, 377, 391, 401, 407, 409, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411, 411]"
96,tft,"[0, 248, 308, 342, 356, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]"
97,defect,"[47, 505, 753, 947, 1113, 1269, 1447, 1591, 1741, 1891, 2043, 2193, 2331, 2481, 2607, 2729, 2877, 3013, 3147, 3265, 3397, 3521, 3635, 3741, 3863, 3993]"
98,coop,"[47, 291, 335, 339, 347, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351, 351]"
99,tft,"[59, 303, 359, 391, 411, 417, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419, 419]"
