id,strategies,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25
80,tft,6,234,302,330,348,360,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
81,defect,17,479,705,915,1097,1251,1397,1567,1697,1827,1961,2099,2217,2353,2475,2613,2731,2877,2983,3093,3199,3313,3417,3531,3645,3763
82,defect,5,447,715,925,1117,1261,1423,1569,1727,1881,2001,2147,2289,2435,2585,2711,2853,2977,3107,3239,3353,3495,3611,3753,3885,4005
83,tft,22,262,310,336,346,350,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
84,defect,7,441,695,911,1093,1277,1439,1615,1765,1929,2075,2213,2351,2487,2633,2775,2927,3087,3219,3363,3503,3659,3779,3903,4015,4139
85,random,4,338,554,702,826,932,1062,1170,1256,1366,1474,1562,1638,1738,1834,1938,2032,2114,2190,2274,2374,2472,2562,2662,2764,2868
86,random,11,337,491,617,733,827,899,1015,1103,1181,1263,1347,1455,1573,1657,1761,1857,1955,2051,2141,2243,2321,2391,2471,2549,2631
87,tft,4,248,306,340,356,368,374,378,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382
88,defect,9,459,701,877,1051,1193,1353,1519,1683,1833,1991,2127,2275,2423,2553,2677,2791,2909,3027,3157,3285,3395,3509,3613,3721,3821
89,random,29,371,583,747,859,957,1075,1179,1273,1369,1447,1543,1639,1717,1811,1907,1979,2065,2129,2221,2301,2381,2451,2523,2597,2663
90,defect,6,452,680,882,1036,1190,1336,1474,1612,1766,1896,2026,2170,2314,2456,2588,2718,2856,2992,3110,3220,3358,3476,3594,3700,3802
91,random,8,338,528,662,796,916,1004,1108,1192,1310,1426,1524,1596,1698,1776,1872,1968,2036,2094,2170,2254,2328,2432,2510,2582,2658
92,tft,4,232,310,350,366,376,384,390,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
93,coop,7,251,291,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
94,tft,4,244,304,334,344,350,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
95,coop,9,229,249,261,269,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
96,random,31,393,571,717,837,955,1065,1149,1247,1343,1421,1503,1609,1701,1815,1891,1969,2063,2141,2235,2307,2399,2475,2551,2617,2713
97,defect,7,449,667,839,987,1141,1299,1443,1577,1741,1897,2045,2177,2307,2437,2587,2733,2857,2985,3119,3249,3369,3487,3613,3725,3833
98,tft,4,236,310,330,342,346,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
99,random,7,361,533,695,823,945,1047,1147,1241,1335,1431,1523,1623,1725,1819,1889,1971,2055,2151,2231,2321,2395,2481,2557,2647,2735
